experiment_id,length_mm,width_mm,height_mm,density_kg_m3,youngs_modulus_gpa,yield_strength_mpa,weight_kg,deflection_mm,max_stress_mpa,safety_factor,eigenfrequency_hz,failure
DOMAIN_BAD_001,1057.133,143.697,300.0,7850.0,212.012,336.814,357.74,0.0,0.123,2747.001,632.61,False
DOMAIN_BAD_002,1028.064,148.528,298.343,7850.0,210.328,337.093,357.613,0.0,0.117,2889.859,662.549,False
DOMAIN_BAD_003,1084.181,50.0,113.101,7850.0,209.549,362.09,48.129,0.021,2.543,142.404,225.423,False
DOMAIN_BAD_004,1000.0,50.811,300.0,7850.0,211.455,350.726,119.66,0.001,0.328,1069.243,706.033,False
DOMAIN_BAD_005,3000.0,50.0,283.494,4500.0,112.666,888.729,191.359,0.053,1.12,793.625,71.47,False
DOMAIN_BAD_006,1025.801,144.783,300.0,7850.0,211.203,369.776,349.762,0.0,0.118,3131.453,670.563,False
DOMAIN_BAD_007,3000.0,50.536,294.353,2700.0,70.25,258.875,120.49,0.075,1.028,251.891,75.648,False
DOMAIN_BAD_008,2958.256,50.0,100.0,4500.0,110.327,864.768,66.561,1.173,8.875,97.441,25.656,False
DOMAIN_BAD_009,3000.0,145.489,300.0,4500.0,109.306,870.115,589.232,0.016,0.344,2531.85,74.494,False
DOMAIN_BAD_010,2966.006,50.0,300.0,4500.0,110.401,883.426,200.205,0.044,0.989,893.551,76.593,False
DOMAIN_BAD_011,1000.0,150.0,277.578,7850.0,208.381,361.562,326.848,0.0,0.13,2785.813,648.497,False
DOMAIN_BAD_012,3000.0,150.0,280.541,4500.0,110.175,875.597,568.095,0.018,0.381,2297.071,69.939,False
DOMAIN_BAD_013,1004.125,146.42,106.656,7850.0,207.887,346.253,123.096,0.007,0.904,382.902,246.842,False
DOMAIN_BAD_014,2925.175,50.0,100.516,4500.0,109.186,875.606,66.156,1.129,8.686,100.811,26.238,False
DOMAIN_BAD_015,1008.413,147.196,106.939,4500.0,106.609,871.968,71.431,0.013,0.899,970.38,232.103,False
DOMAIN_BAD_016,2986.677,53.134,300.0,4500.0,107.034,880.501,214.239,0.043,0.937,939.872,74.375,False
DOMAIN_BAD_017,1000.0,58.516,100.0,4500.0,108.986,891.159,26.332,0.039,2.563,347.649,223.156,False
DOMAIN_BAD_018,1012.001,54.77,300.0,7850.0,215.288,346.753,130.531,0.001,0.308,1125.982,695.605,False
DOMAIN_BAD_019,3000.0,150.0,100.0,7850.0,207.98,359.298,353.25,0.216,3.0,119.766,25.934,False
DOMAIN_BAD_020,3000.0,50.0,100.0,2700.0,71.762,243.642,40.5,1.881,9.0,27.071,25.975,False
DOMAIN_BAD_021,3000.0,50.0,100.0,4500.0,109.409,876.197,67.5,1.234,9.0,97.355,24.843,False
DOMAIN_BAD_022,1000.044,50.0,300.0,2700.0,67.21,245.103,40.502,0.003,0.333,735.275,678.652,False
DOMAIN_BAD_023,3000.0,55.391,100.703,2700.0,70.563,263.925,45.182,1.691,8.011,32.945,25.938,False
DOMAIN_BAD_024,3000.0,50.0,100.0,7850.0,211.79,359.533,117.75,0.637,9.0,39.948,26.17,False
DOMAIN_BAD_025,1037.55,150.0,300.0,2700.0,68.833,250.998,126.062,0.001,0.115,2177.23,638.041,False
DOMAIN_BAD_026,1000.0,149.682,276.927,2700.0,72.203,247.706,111.917,0.001,0.131,1895.586,649.367,False
DOMAIN_BAD_027,1000.0,50.212,100.0,4500.0,109.646,867.546,22.596,0.045,2.987,290.411,223.83,False
DOMAIN_BAD_028,1067.61,50.0,111.368,2700.0,69.362,239.109,16.051,0.064,2.582,92.594,224.567,False
DOMAIN_BAD_029,2968.713,150.0,300.0,2700.0,72.647,253.345,360.699,0.022,0.33,768.044,80.065,False
DOMAIN_BAD_030,2899.448,150.0,293.058,4500.0,108.63,891.182,573.553,0.015,0.338,2639.729,77.664,False
