experiment_id,length_mm,width_mm,height_mm,density_kg_m3,youngs_modulus_gpa,yield_strength_mpa,weight_kg,deflection_mm,max_stress_mpa,safety_factor,eigenfrequency_hz,failure
DOMAIN_001,1484.235,74.631,198.373,7850.0,210.0,350.0,172.493,0.007,0.758,461.696,211.194,False
DOMAIN_002,1770.988,87.459,202.769,2700.0,69.0,250.0,84.798,0.028,0.739,338.406,148.198,False
DOMAIN_003,2935.737,106.073,212.649,4500.0,110.0,880.0,297.989,0.056,0.918,958.537,55.316,False
DOMAIN_004,1669.01,90.524,193.678,7850.0,210.0,350.0,229.707,0.008,0.737,474.726,163.067,False
DOMAIN_005,2507.635,115.179,100.268,4500.0,110.0,880.0,130.32,0.309,3.248,270.909,35.748,False
DOMAIN_006,1783.579,121.223,195.336,4500.0,110.0,880.0,190.052,0.014,0.578,1521.419,137.663,False
DOMAIN_007,2677.542,147.99,256.705,7850.0,210.0,350.0,798.497,0.009,0.412,849.85,83.978,False
DOMAIN_008,1201.085,82.25,284.111,4500.0,110.0,880.0,126.301,0.002,0.271,3242.845,441.529,False
DOMAIN_009,1477.091,143.423,149.692,2700.0,69.0,250.0,85.623,0.024,0.689,362.625,157.274,False
DOMAIN_010,2896.039,133.423,208.934,4500.0,110.0,880.0,363.293,0.045,0.746,1179.877,55.85,False
DOMAIN_011,1012.38,132.945,106.349,2700.0,69.0,250.0,38.647,0.024,1.01,247.54,237.859,False
DOMAIN_012,1251.018,142.458,193.314,4500.0,110.0,880.0,155.034,0.004,0.352,2496.559,276.921,False
DOMAIN_013,2660.044,51.688,298.496,2700.0,69.0,250.0,110.81,0.05,0.866,288.553,96.702,False
DOMAIN_014,1666.624,91.746,255.232,2700.0,69.0,250.0,105.372,0.011,0.418,597.68,210.636,False
DOMAIN_015,1508.865,141.589,154.312,7850.0,210.0,350.0,258.791,0.008,0.671,521.38,158.965,False
DOMAIN_016,1220.007,67.494,299.245,4500.0,110.0,880.0,110.884,0.002,0.303,2906.361,450.736,False
DOMAIN_017,2488.051,95.319,290.041,4500.0,110.0,880.0,309.534,0.015,0.465,1890.722,105.041,False
DOMAIN_018,2734.052,69.043,246.019,4500.0,110.0,880.0,208.982,0.045,0.981,896.691,73.786,False
