experiment_id,length_mm,width_mm,height_mm,density_kg_m3,youngs_modulus_gpa,yield_strength_mpa,weight_kg,deflection_mm,max_stress_mpa,safety_factor,eigenfrequency_hz,failure
SMART_001,2112.26,21.424,136.442,2423.849,221.087,132.567,14.966,0.196,7.944,16.688,132.437,False
SMART_002,1572.389,74.486,78.417,5395.611,73.155,69.451,49.554,0.37,5.149,13.487,52.957,False
SMART_003,2413.561,37.271,74.962,3228.979,56.134,212.075,21.774,3.988,17.286,12.268,24.33,False
SMART_004,521.724,31.347,101.407,7086.705,88.035,583.794,11.753,0.012,2.428,240.473,595.419,False
SMART_005,2082.216,58.722,37.897,7773.357,173.015,97.622,36.019,4.082,37.035,2.636,18.699,False
SMART_006,942.552,65.213,132.238,3111.108,179.837,404.229,25.288,0.008,1.24,326.046,513.165,False
SMART_007,2268.701,77.01,82.253,6099.882,238.675,413.46,87.658,0.285,6.532,63.301,45.328,False
SMART_008,2442.997,96.675,145.559,7369.821,97.135,546.957,253.357,0.126,1.789,305.726,40.15,False
SMART_009,1803.175,35.544,51.07,5487.224,156.656,422.172,17.961,1.976,29.176,14.47,38.055,False
SMART_010,612.948,44.088,39.202,3478.672,249.832,112.935,3.685,0.087,13.57,8.322,400.963,False
SMART_011,1313.316,76.612,130.133,3583.813,182.038,477.478,46.924,0.018,1.518,314.455,243.829,False
SMART_012,1884.408,96.278,118.78,2246.123,67.342,582.377,48.404,0.154,2.081,279.868,83.052,False
SMART_013,1441.466,78.706,95.362,7951.948,217.248,356.18,86.033,0.05,3.021,117.906,108.777,False
SMART_014,1714.43,54.886,83.268,6297.26,205.823,123.791,49.342,0.193,6.758,18.319,73.441,False
SMART_015,819.773,34.764,42.93,2282.68,53.006,576.622,2.793,0.945,19.192,30.045,139.589,False
SMART_016,2318.477,44.521,49.61,1235.712,102.038,532.267,6.328,5.617,31.738,16.77,38.029,False
SMART_017,856.382,36.765,69.323,5338.929,70.11,364.326,11.653,0.183,7.271,50.11,155.323,False
SMART_018,1147.341,46.412,40.294,2498.117,125.861,79.501,5.36,0.988,22.839,3.481,98.519,False
SMART_019,2139.036,89.639,100.954,529.911,127.233,502.157,10.257,0.209,3.512,142.979,155.029,False
SMART_020,788.232,68.857,115.707,6810.52,195.481,372.775,42.77,0.006,1.283,290.65,452.421,False
SMART_021,2094.159,51.34,142.795,4796.907,39.95,598.642,73.645,0.384,3.001,199.503,42.609,False
SMART_022,2256.701,25.142,146.683,4602.963,139.395,569.956,38.308,0.26,6.258,91.083,71.873,False
SMART_023,1384.189,84.661,108.016,4174.145,50.85,381.424,52.837,0.122,2.102,181.46,89.225,False
SMART_024,792.173,23.167,141.234,3706.598,182.875,444.428,9.607,0.01,2.571,172.836,716.831,False
SMART_025,1875.265,98.293,73.084,3667.975,137.873,492.691,49.413,0.312,5.358,91.959,57.777,False
SMART_026,1451.737,43.242,123.259,1866.724,93.87,103.151,14.444,0.101,3.315,31.12,188.059,False
SMART_027,1747.188,59.736,105.977,1521.176,95.071,234.481,16.826,0.197,3.906,60.026,124.451,False
SMART_028,2287.698,79.985,45.639,2211.09,91.804,317.277,18.465,4.288,20.597,15.404,25.48,False
SMART_029,1096.829,78.019,22.411,5768.185,240.093,374.676,11.062,1.565,41.987,8.924,54.498,False
SMART_030,2338.354,25.982,79.517,4925.286,23.33,232.191,23.794,10.488,21.35,10.875,14.352,False
SMART_031,511.092,49.243,61.913,5700.653,210.674,540.43,8.883,0.014,4.062,133.061,653.362,False
SMART_032,1306.263,81.162,139.115,3302.658,77.276,57.587,48.71,0.033,1.247,46.164,178.826,False
SMART_033,1298.772,64.068,111.55,3980.777,237.281,149.345,36.95,0.026,2.444,61.115,231.516,False
SMART_034,1268.036,47.076,65.645,6876.057,224.199,176.104,26.944,0.171,9.376,18.782,105.709,False
SMART_035,579.861,91.108,25.764,7787.088,168.254,67.858,10.599,0.186,14.382,4.718,161.509,False
SMART_036,2173.057,81.368,122.57,6994.845,222.742,424.718,151.595,0.077,2.667,159.279,66.418,False
SMART_037,708.689,50.75,146.797,4347.591,184.839,499.656,22.954,0.003,0.972,514.043,864.186,False
SMART_038,933.371,81.618,117.964,4215.32,159.97,194.223,37.881,0.009,1.233,157.557,378.245,False
SMART_039,843.66,51.158,134.959,6709.283,206.841,271.111,39.08,0.006,1.358,199.619,477.392,False
SMART_040,770.67,74.878,92.496,1933.071,44.779,132.2,10.318,0.043,1.804,73.261,339.882,False
SMART_041,2271.706,83.681,64.049,1642.596,63.273,226.364,20.0,2.107,9.926,22.804,34.928,False
SMART_042,1763.969,63.835,43.807,3746.529,10.418,429.864,18.481,24.545,21.599,19.902,10.645,False
SMART_043,1865.461,84.301,107.596,6659.524,204.62,495.21,112.683,0.076,2.867,172.718,77.715,False
SMART_044,2299.334,26.962,59.555,6769.075,152.428,181.604,24.992,3.501,36.066,5.035,24.239,False
SMART_045,1980.79,67.934,24.365,7656.739,197.061,264.442,25.103,10.034,73.674,3.589,14.286,False
SMART_046,669.446,97.93,26.465,2577.832,129.183,587.918,4.473,0.32,14.64,40.159,189.562,False
SMART_047,2426.82,82.998,89.631,805.583,219.948,82.501,14.544,0.272,5.459,15.112,114.03,False
SMART_048,1587.633,66.7,37.179,4684.39,18.341,378.973,18.443,15.913,25.83,14.672,13.234,False
SMART_049,1674.762,73.959,27.258,2860.551,169.69,550.227,9.658,4.62,45.715,12.036,33.941,False
SMART_050,1411.564,38.039,33.013,1594.924,233.465,207.733,2.827,2.201,51.072,4.067,90.899,False
SMART_051,2392.21,94.346,74.252,2880.717,127.771,142.227,48.276,0.694,6.899,20.617,39.183,False
SMART_052,1666.149,98.944,129.677,5182.259,40.627,475.104,110.786,0.132,1.502,316.299,59.307,False
SMART_053,1067.674,59.453,58.112,2962.719,64.745,86.614,10.929,0.403,7.977,10.858,108.062,False
SMART_054,1657.031,80.42,77.254,5544.466,194.406,238.278,57.079,0.158,5.179,46.012,75.547,False
SMART_055,631.514,46.139,144.277,3517.523,42.84,519.458,14.787,0.011,0.986,526.67,572.492,False
SMART_056,832.651,74.319,139.798,7442.723,227.041,249.06,64.387,0.003,0.86,289.638,505.001,False
SMART_057,1779.049,54.51,113.545,3014.902,29.035,396.613,33.197,0.608,3.797,104.448,50.483,False
SMART_058,1961.991,52.163,96.841,1370.183,56.865,459.053,13.58,0.701,6.016,76.305,73.49,False
SMART_059,2364.099,61.962,81.349,4131.077,106.522,161.176,49.228,0.93,8.648,18.637,33.515,False
SMART_060,885.34,86.591,102.053,1332.528,131.809,298.601,10.425,0.014,1.473,202.777,587.18,False
SMART_061,1790.688,85.152,90.774,7884.211,89.611,387.099,109.128,0.252,3.828,101.118,43.276,False
SMART_062,2012.257,33.332,86.083,2153.811,214.285,327.006,12.436,0.447,12.22,26.759,96.155,False
SMART_063,756.358,20.674,80.348,7131.958,229.677,205.546,8.961,0.044,8.5,24.18,361.411,False
SMART_064,536.167,20.908,30.041,5977.395,24.664,65.182,2.013,2.756,42.625,1.529,96.252,False
SMART_065,676.236,45.605,96.233,2001.83,164.658,526.161,5.941,0.012,2.402,219.077,865.438,False
SMART_066,1203.629,56.751,108.668,7486.771,84.385,593.251,55.573,0.071,2.694,220.206,114.19,False
SMART_067,961.746,34.282,41.152,6520.913,192.038,212.474,8.848,0.485,24.849,8.551,109.481,False
SMART_068,1232.187,51.956,88.252,6017.03,241.259,534.449,33.995,0.054,4.568,117.009,166.898,False
SMART_069,688.936,64.4,95.617,1488.12,133.491,281.283,6.313,0.011,1.755,160.264,865.199,False
SMART_070,869.71,55.504,25.107,1783.371,171.762,294.996,2.161,1.09,37.287,7.912,147.713,False
SMART_071,1753.437,39.586,92.146,948.063,15.273,135.796,6.064,2.849,7.825,17.354,54.547,False
SMART_072,1857.614,56.86,55.063,6132.464,120.487,245.877,35.666,1.401,16.163,15.212,32.072,False
SMART_073,1833.019,92.865,100.574,567.433,66.25,469.363,9.714,0.246,2.927,160.351,146.662,False
SMART_074,1472.548,69.348,148.147,7844.18,234.718,401.469,118.671,0.015,1.451,276.637,169.466,False
SMART_075,2437.292,98.516,29.113,1189.567,101.135,515.805,8.316,14.723,43.785,11.78,20.491,False
SMART_076,699.576,20.046,20.839,643.508,245.09,555.495,0.188,1.925,120.544,4.608,376.805,False
SMART_077,1640.2,91.417,121.54,7188.635,176.113,324.601,131.005,0.038,1.822,178.167,101.398,False
SMART_078,2150.54,71.879,73.574,3361.258,48.821,220.663,38.228,1.779,8.291,26.616,27.492,False
SMART_079,1218.516,50.197,145.187,6332.219,131.057,231.131,56.233,0.022,1.727,133.804,201.72,False
SMART_080,1157.219,52.678,109.422,1002.088,143.638,472.368,6.684,0.039,2.752,171.637,443.593,False
SMART_081,2385.912,32.313,91.118,3938.111,81.957,95.599,27.664,1.695,13.34,7.166,33.111,False
SMART_082,2035.259,24.31,70.978,1678.784,18.758,427.718,5.895,12.926,24.928,17.158,25.972,False
